1382591497,mcintyre-805-1__demo-model__demo-lab-b,mcintyre-810-1__demo-model__demo-lab-b,mcintyre-825-1__demo-model__demo-lab-b,mcintyre-815-1__demo-model__demo-lab-b,mcintyre-815-2__demo-model__demo-lab-b,mcintyre-1012-1__demo-model__demo-lab-b,mcintyre-1307-1__demo-model__demo-lab-b,mcintyre-1312-1__demo-model__demo-lab-b,mcintyre-1002-1__demo-model__demo-lab-b,mcintyre-1317-1__demo-model__demo-lab-b,mcintyre-1217-1__demo-model__demo-lab-b,mcintyre-1309-1__demo-model__demo-lab-b,mcintyre-1003-1__demo-model__demo-lab-b,mcintyre-1314-1__demo-model__demo-lab-b,mcintyre-1313-1__demo-model__demo-lab-b,mcintyre-1303-1__demo-model__demo-lab-b,mcintyre-800-2__demo-model__demo-lab-b,mcintyre-800-1__demo-model__demo-lab-b,mcintyre-944-1__demo-model__demo-lab-b
2013-10-29 03:00:00-05:00,200.0,540.9444347222221,650.0,600.1041472222224,580.9513597222222,650.0,500.8402680555555,517.7083333333334,200.0,650.0,650.0,486.4513888888888,200.0,400.14235625000003,200.0,513.0659706018517,650.0,650.0,650.0
2013-10-29 04:00:00-05:00,200.0,540.9444347222221,650.0,600.1041472222224,580.9513597222222,650.0,500.8402680555555,517.7083333333334,200.0,650.0,650.0,486.4513888888888,200.0,400.0815915509259,200.0,513.1874999999998,650.0,650.0,650.0
2013-10-29 05:00:00-05:00,200.0,540.9444347222221,650.0,600.1041472222224,580.9513597222222,650.0,500.8402680555555,517.7083333333334,200.0,650.0,650.0,486.4513888888888,200.0,400.50694444444446,200.0,513.1874999999998,650.0,650.0,650.0
2013-10-29 06:00:00-05:00,200.0,540.9444347222221,650.0,600.1041472222224,580.9513597222222,650.0,500.8402680555555,517.7083333333334,200.0,650.0,650.0,486.4513888888888,200.0,399.8385327546296,200.0,513.1874999999998,650.0,650.0,650.0
2013-10-29 07:00:00-05:00,200.0,338.73841944444445,650.0,600.1041472222224,580.9513597222222,650.0,500.8402680555555,517.9513807870369,200.0,650.0,650.0,486.4513888888888,200.0,400.14235625000003,200.0,513.819429861111,650.0,650.0,650.0
2013-10-29 08:00:00-05:00,200.0,566.2303143518517,650.0,600.1041472222224,580.9513597222222,650.0,500.8402680555555,517.9999902777777,200.0,650.0,650.0,200.0,200.0,399.89929745370375,200.0,514.451359722222,650.0,650.0,650.0
2013-10-29 09:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,517.9999902777777,200.0,650.0,650.0,200.0,200.0,400.0815915509259,200.0,515.2615489583334,650.0,650.0,650.0
2013-10-29 10:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,517.9999902777777,200.0,650.0,564.0590277777778,200.0,200.0,400.0815915509259,200.0,271.73610138888904,650.0,650.0,650.0
2013-10-29 11:00:00-05:00,200.0,650.0,650.0,638.8229020833331,650.0,650.0,500.8402680555555,519.0694258101851,200.0,650.0,650.0,200.0,200.0,400.32465034722213,200.0,200.0,650.0,650.0,650.0
2013-10-29 12:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,519.1666472222221,200.0,650.0,650.0,200.0,200.0,400.02082685185195,200.0,459.30208171296283,650.0,650.0,650.0
2013-10-29 13:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,519.1666472222221,200.0,650.0,650.0,200.0,200.0,406.8344899305556,200.0,545.8946751157405,650.0,576.2523091435188,650.0
2013-10-29 14:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,519.1666472222221,200.0,650.0,650.0,200.0,200.0,405.7083333333333,200.0,544.8252217592592,650.0,650.0,650.0
2013-10-29 15:00:00-05:00,200.0,610.2152680555555,650.0,650.0,650.0,650.0,500.8402680555555,519.1666472222221,200.0,650.0,650.0,200.0,200.0,405.7083333333333,200.0,544.7361013888888,650.0,650.0,650.0
2013-10-29 16:00:00-05:00,200.0,646.0497442129631,650.0,650.0,650.0,650.0,500.8402680555555,519.1666472222221,200.0,650.0,650.0,200.0,200.0,404.04743749999983,200.0,544.7361013888888,650.0,650.0,650.0
2013-10-29 17:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,519.1666472222221,200.0,650.0,650.0,200.0,200.0,403.7152583333332,200.0,544.7361013888888,650.0,650.0,650.0
2013-10-29 18:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,519.1666472222221,200.0,650.0,650.0,200.0,200.0,403.7152583333332,200.0,544.7361013888888,650.0,650.0,650.0
2013-10-29 19:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,518.9965083333333,200.0,650.0,650.0,200.0,200.0,403.5815753472221,200.0,454.30323263888886,650.0,650.0,650.0
2013-10-29 20:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,518.9114388888889,200.0,650.0,650.0,200.0,200.0,403.5815753472221,200.0,200.0,650.0,650.0,650.0
2013-10-29 21:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,517.8298594907407,200.0,650.0,650.0,200.0,200.0,403.7152583333332,200.0,200.0,650.0,650.0,650.0
2013-10-29 22:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,517.7083333333334,200.0,650.0,650.0,200.0,200.0,403.6261363425924,200.0,200.0,650.0,650.0,650.0
2013-10-29 23:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,517.7083333333334,200.0,650.0,650.0,200.0,200.0,403.7152583333332,200.0,200.0,650.0,650.0,650.0
2013-10-30 00:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,517.7083333333334,200.0,650.0,650.0,200.0,200.0,403.8975499999999,200.0,200.0,650.0,650.0,650.0
2013-10-30 01:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,517.7083333333334,200.0,650.0,650.0,200.0,200.0,404.20136944444437,200.0,200.0,650.0,650.0,650.0
2013-10-30 02:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,517.7083333333334,200.0,650.0,650.0,200.0,200.0,403.7760222222221,200.0,200.0,650.0,650.0,650.0
2013-10-30 03:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,517.7083333333334,200.0,650.0,650.0,200.0,200.0,403.7152583333332,200.0,200.0,650.0,650.0,650.0
2013-10-30 04:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,517.7083333333334,200.0,650.0,650.0,200.0,200.0,403.7152583333332,200.0,200.0,650.0,650.0,650.0
2013-10-30 05:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,517.7083333333334,200.0,650.0,650.0,200.0,200.0,403.7152583333332,200.0,200.0,650.0,650.0,650.0
2013-10-30 06:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,517.7083333333334,200.0,650.0,650.0,200.0,200.0,403.7152583333332,200.0,200.0,650.0,650.0,650.0
2013-10-30 07:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,517.7083333333334,200.0,650.0,650.0,200.0,200.0,403.7152583333332,200.0,200.0,650.0,650.0,650.0
2013-10-30 08:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,518.0729118055556,200.0,650.0,650.0,200.0,200.0,403.7152583333332,200.0,200.0,650.0,650.0,650.0
2013-10-30 09:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,519.1666472222221,200.0,650.0,650.0,200.0,200.0,403.7152583333332,200.0,200.0,650.0,650.0,650.0
2013-10-30 10:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,519.1666472222221,200.0,650.0,650.0,200.0,200.0,403.7152583333332,200.0,200.0,650.0,650.0,650.0
2013-10-30 11:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,519.1666472222221,200.0,650.0,650.0,200.0,200.0,403.7152583333332,200.0,227.42707361111113,582.0694347222221,622.8865546296296,650.0
2013-10-30 12:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,520.1024159722222,200.0,650.0,650.0,581.9843774305557,200.0,403.7152583333332,200.0,569.6168916666668,582.0694347222221,577.694425,650.0
2013-10-30 13:00:00-05:00,200.0,650.0,650.0,650.0,650.0,650.0,500.8402680555555,522.9097222222221,200.0,650.0,650.0,359.2361208333333,200.0,403.7152583333332,200.0,650.0,582.0694347222221,611.2279898148148,650.0
