,ottomaass-230-1__mcgill-standard__otto-mass-119-230,ottomaass-230-2__mcgill-standard__otto-mass-119-230,ottomaass-230-3__mcgill-standard__otto-mass-119-230,ottomaass-230-4__mcgill-standard__otto-mass-119-230,ottomaass-230-5__mcgill-standard__otto-mass-119-230,ottomaass-230-6__mcgill-standard__otto-mass-119-230,ottomaass-230-7__mcgill-standard__otto-mass-119-230,ottomaass-230-8__mcgill-standard__otto-mass-119-230,ottomaass-230-9__mcgill-standard__otto-mass-119-230,ottomaass-230-10__mcgill-standard__otto-mass-119-230,ottomaass-230-11__mcgill-standard__otto-mass-119-230,ottomaass-230-12__mcgill-standard__otto-mass-119-230,ottomaass-230-13__mcgill-standard__otto-mass-119-230,ottomaass-230-14__mcgill-standard__otto-mass-119-230,ottomaass-230-15__mcgill-standard__otto-mass-119-230,ottomaass-230-16__mcgill-standard__otto-mass-119-230,ottomaass-230-17__mcgill-standard__otto-mass-119-230,ottomaass-230-18__mcgill-standard__otto-mass-119-230,ottomaass-230-19__mcgill-standard__otto-mass-119-230
2013-10-31 12:00:00-05:00,235.95833916666666,201.39582555555555,358.92822777777775,242.47221249999996,200.0,291.9583275,300.6597125,543.5208236111112,200.0,200.0,520.6736111111111,200.0,305.0638966666668,200.0,234.05763597222216,200.0,279.2708138888888,,200.0
2013-10-31 12:30:00-05:00,393.2638986111111,335.85414722222225,410.2972125,245.16527388888892,311.0624825,486.59721250000007,200.0,326.11249416666664,200.0,200.0,520.2847125,200.0,200.0,200.0,233.94583333333333,200.82870046296296,279.2708138888888,,200.0
2013-10-31 13:00:00-05:00,393.2638986111111,336.2268388888889,321.9805497222222,200.0,311.0624825,291.51110722222217,391.1249935185185,465.80786064814816,200.0,200.0,348.9110994444444,200.0,200.0,229.70369722222222,233.94583333333333,200.0,279.2708138888888,,200.0
2013-10-31 13:30:00-05:00,235.95833916666666,336.9722222222222,551.7846930555555,307.80555555555554,311.0624825,291.72498833333333,277.4073993055556,310.5115675925926,200.0,200.0,384.04234750000006,200.0,200.0,200.0,235.31666083333337,200.0,200.0,,200.0
2013-10-31 14:00:00-05:00,235.95833916666666,245.37915791666668,551.7846930555555,200.0,311.0624825,291.72498833333333,200.0,200.0,200.0,200.0,641.32635,200.0,200.0,229.2743006944444,236.39582166666662,200.0,200.0,,200.0
2013-10-31 14:30:00-05:00,271.5951388888889,480.39119884259253,313.4849439814815,379.81481319444447,208.56595958333335,291.72498833333333,221.95833333333334,200.0,200.0,200.0,384.79581,200.0,200.0,200.0,371.6805361111111,200.5694347222222,200.0,,200.0
2013-10-31 15:00:00-05:00,278.4541725000001,288.3416666666667,271.0555458333333,428.06943472222224,200.0,291.72498833333333,200.0,310.77083333333337,200.0,200.0,384.79581,200.0,200.0,200.0,209.62082166666667,200.5694347222222,200.0,,200.0
2013-10-31 15:30:00-05:00,278.4541725000001,480.56944444444446,271.0555458333333,256.8416608333334,200.0,486.2083138888889,200.0,200.0,200.0,200.0,568.9363085648148,200.0,238.98032407407405,229.44444444444446,209.50901805555557,200.5694347222222,200.0,,213.35416666666663
2013-10-31 16:00:00-05:00,219.61527875000002,406.3645881944445,205.84374319444444,331.4062402777777,200.0,486.21641898148147,200.0,310.7060168981481,200.0,200.0,200.0,200.0,298.01851689814816,200.0,348.25,210.53471736111112,279.2708138888888,,200.0
2013-10-31 16:30:00-05:00,200.0,332.1597319444445,200.0,200.0,200.0,291.9583275,221.95833333333334,310.77083333333337,200.0,200.0,200.0,200.0,297.69443472222224,229.44444444444446,208.95000000000002,220.50000000000003,279.2708138888888,,200.0
2013-10-31 17:00:00-05:00,200.0,332.09491550925935,200.0,234.74304583333333,200.0,291.73471736111117,221.83680393518515,310.77083333333337,200.0,200.0,200.0,200.0,200.0,200.0,348.25,220.50000000000003,279.2708138888888,,257.9467414351852
2013-10-31 17:30:00-05:00,268.0902680555555,200.0,202.95137916666667,200.0,200.0,292.3958333333333,200.0,200.0,200.0,200.0,207.21295324074072,200.0,200.0,200.0,208.95000000000002,200.0,200.0,,200.0
2013-10-31 18:00:00-05:00,200.0,200.0,200.0,200.0,200.0,293.64999125,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,208.84791666666672,200.0,200.0,,200.0
2013-10-31 18:30:00-05:00,200.0,332.1597319444445,200.0,200.0,313.05556527777776,291.28748833333333,221.95833333333334,310.77083333333337,200.0,200.0,200.0,200.0,200.0,229.44444444444446,208.7458333333333,200.0,200.0,,200.0
2013-10-31 19:00:00-05:00,200.0,200.0,202.80554583333333,234.74304583333333,200.0,291.28748833333333,200.0,200.0,200.0,200.0,200.0,200.0,297.69443472222224,229.44444444444446,208.7458333333333,200.0,200.0,,259.8263694444445
