,occupancy,minimum,hood_undjusted_sum,hood_adjusted_sum
2013-11-04 10:00:00-05:00,True,4967,4600.632804259259,4967.0
2013-11-04 10:30:00-05:00,True,4967,4443.729121944445,4967.0
2013-11-04 11:00:00-05:00,True,4967,4715.187438750001,4967.0
2013-11-04 11:30:00-05:00,True,4967,4921.324943287037,4967.0
2013-11-04 12:00:00-05:00,True,4967,5059.696468796296,5059.696468796296
2013-11-04 12:30:00-05:00,True,4967,5045.467742731482,5045.467742731482
2013-11-04 13:00:00-05:00,True,4967,4491.384230740741,4967.0
2013-11-04 13:30:00-05:00,True,4967,4290.833998611111,4967.0
2013-11-04 14:00:00-05:00,True,4967,4815.491159953704,4967.0
2013-11-04 14:30:00-05:00,True,4967,4949.704138148149,4967.0
2013-11-04 15:00:00-05:00,True,4967,4626.8566620833335,4967.0
2013-11-04 15:30:00-05:00,True,4967,4668.277044444445,4967.0
2013-11-04 16:00:00-05:00,True,4967,5026.42750837963,5026.42750837963
2013-11-04 16:30:00-05:00,True,4967,4699.104384537037,4967.0
2013-11-04 17:00:00-05:00,True,4967,4615.6444152777785,4967.0
2013-11-04 17:30:00-05:00,True,4967,4625.544446388889,4967.0
2013-11-04 18:00:00-05:00,True,4967,4488.383313888889,4967.0
2013-11-04 18:30:00-05:00,True,4967,4795.375429907407,4967.0
2013-11-04 19:00:00-05:00,True,4967,4323.2750213888885,4967.0
2013-11-04 19:30:00-05:00,True,4967,4326.916655,4967.0
2013-11-04 20:00:00-05:00,True,4967,4432.436130555556,4967.0
2013-11-04 20:30:00-05:00,True,4967,4266.633354722222,4967.0
2013-11-04 21:00:00-05:00,True,4967,4311.448613055555,4967.0
2013-11-04 21:30:00-05:00,True,4967,3983.8000175,4967.0
2013-11-04 22:00:00-05:00,True,4967,4615.050206203704,4967.0
2013-11-04 22:30:00-05:00,True,4967,4484.268508148148,4967.0
2013-11-04 23:00:00-05:00,True,4967,4292.958352777778,4967.0
2013-11-04 23:30:00-05:00,True,4967,4378.798586157407,4967.0
2013-11-05 00:00:00-05:00,False,4967,3775.7361218055557,4967.0
2013-11-05 00:30:00-05:00,False,4967,3775.7750116666666,4967.0
2013-11-05 01:00:00-05:00,False,4967,3775.7750116666666,4967.0
2013-11-05 01:30:00-05:00,False,4967,3775.7361218055557,4967.0
2013-11-05 02:00:00-05:00,False,4967,3775.6583420833335,4967.0
2013-11-05 02:30:00-05:00,False,4967,3775.7750116666666,4967.0
2013-11-05 03:00:00-05:00,False,4967,3775.6972319444444,4967.0
2013-11-05 03:30:00-05:00,False,4967,3775.5416725,4967.0
2013-11-05 04:00:00-05:00,False,4967,3775.619452222222,4967.0
2013-11-05 04:30:00-05:00,False,4967,3775.7750116666666,4967.0
2013-11-05 05:00:00-05:00,False,4967,3775.7750116666666,4967.0
2013-11-05 05:30:00-05:00,False,4967,3776.1784702777777,4967.0
2013-11-05 06:00:00-05:00,False,4967,3776.2513840277775,4967.0
2013-11-05 06:30:00-05:00,False,4967,3776.2513840277775,4967.0
2013-11-05 07:00:00-05:00,False,4967,3775.993752916667,4967.0
2013-11-05 07:30:00-05:00,False,4967,3776.290281666667,4967.0
2013-11-05 08:00:00-05:00,True,4967,4120.411081944444,4967.0
2013-11-05 08:30:00-05:00,True,4967,4134.632151944445,4967.0
2013-11-05 09:00:00-05:00,True,4967,4289.639334351851,4967.0
2013-11-05 09:30:00-05:00,True,4967,4438.6939600925925,4967.0
2013-11-05 10:00:00-05:00,False,2702,4099.459702777778,4099.459702777778
2013-11-05 10:30:00-05:00,True,4967,4113.3472125,4967.0
2013-11-05 11:00:00-05:00,True,4967,4404.455532222222,4967.0
2013-11-05 11:30:00-05:00,True,4967,4274.143051666667,4967.0
2013-11-05 12:00:00-05:00,True,4967,4490.774986388889,4967.0
2013-11-05 12:30:00-05:00,True,4967,4123.4421273611115,4967.0
2013-11-05 13:00:00-05:00,True,4967,4187.149965972223,4967.0
2013-11-05 13:30:00-05:00,True,4967,4566.506673101852,4967.0
2013-11-05 14:00:00-05:00,True,4967,4918.430522175927,4967.0
2013-11-05 14:30:00-05:00,True,4967,4497.722893333334,4967.0
2013-11-05 15:00:00-05:00,True,4967,4778.9008825,4967.0
2013-11-05 15:30:00-05:00,True,4967,4398.831891620371,4967.0
2013-11-05 16:00:00-05:00,True,4967,4538.8999137962965,4967.0
2013-11-05 16:30:00-05:00,True,4967,4027.072179444445,4967.0
2013-11-05 17:00:00-05:00,True,4967,3882.9208103240744,4967.0
2013-11-05 17:30:00-05:00,False,2702,4155.055508240741,4155.055508240741
2013-11-05 18:00:00-05:00,True,4967,4298.674703703704,4967.0
2013-11-05 18:30:00-05:00,True,4967,3732.4923261111107,4967.0
2013-11-05 19:00:00-05:00,True,4967,4266.979769722222,4967.0
2013-11-05 19:30:00-05:00,True,4967,3977.3527019444446,4967.0
2013-11-05 20:00:00-05:00,True,4967,3865.7263305555553,4967.0
2013-11-05 20:30:00-05:00,True,4967,3904.420779861111,4967.0
2013-11-05 21:00:00-05:00,True,4967,4207.868910509259,4967.0
2013-11-05 21:30:00-05:00,False,2702,4246.085346666667,4246.085346666667
2013-11-05 22:00:00-05:00,True,4967,3748.496722638889,4967.0
2013-11-05 22:30:00-05:00,True,4967,4313.446679861111,4967.0
2013-11-05 23:00:00-05:00,True,4967,3972.7549400694443,4967.0
2013-11-05 23:30:00-05:00,True,4967,3989.646453888889,4967.0
2013-11-06 00:00:00-05:00,False,4967,3602.762475208333,4967.0
2013-11-06 00:30:00-05:00,False,4967,3602.781920138889,4967.0
2013-11-06 01:00:00-05:00,False,4967,3602.781920138889,4967.0
2013-11-06 01:30:00-05:00,False,4967,3602.6652505555553,4967.0
2013-11-06 02:00:00-05:00,False,4967,3602.8208099999997,4967.0
2013-11-06 02:30:00-05:00,False,4967,3602.8208099999997,4967.0
2013-11-06 03:00:00-05:00,False,4967,3602.7430302777775,4967.0
2013-11-06 03:30:00-05:00,False,4967,3602.8208099999997,4967.0
2013-11-06 04:00:00-05:00,False,4967,3602.7430302777775,4967.0
2013-11-06 04:30:00-05:00,False,4967,3602.7041404166666,4967.0
2013-11-06 05:00:00-05:00,False,4967,3602.8208099999997,4967.0
2013-11-06 05:30:00-05:00,False,4967,3602.5874941666666,4967.0
2013-11-06 06:00:00-05:00,False,4967,3602.5874941666666,4967.0
2013-11-06 06:30:00-05:00,False,4967,3602.9083138888886,4967.0
2013-11-06 07:00:00-05:00,False,4967,3602.7041481944448,4967.0
2013-11-06 07:30:00-05:00,False,4967,3602.743032222222,4967.0
2013-11-06 08:00:00-05:00,True,4967,3868.48744912037,4967.0
2013-11-06 08:30:00-05:00,True,4967,4112.21612787037,4967.0
2013-11-06 09:00:00-05:00,True,4967,3954.776342222222,4967.0
2013-11-06 09:30:00-05:00,True,4967,4368.478834722222,4967.0
2013-11-06 10:00:00-05:00,True,4967,4272.562902037036,4967.0
2013-11-06 10:30:00-05:00,True,4967,4495.153185972222,4967.0
2013-11-06 11:00:00-05:00,False,2702,4482.185367083333,4482.185367083333
2013-11-06 11:30:00-05:00,True,4967,4219.313828611112,4967.0
2013-11-06 12:00:00-05:00,True,4967,4740.71099638889,4967.0
2013-11-06 12:30:00-05:00,True,4967,4344.163795555555,4967.0
2013-11-06 13:00:00-05:00,True,4967,4476.176298796296,4967.0
2013-11-06 13:30:00-05:00,True,4967,4132.241354814814,4967.0
2013-11-06 14:00:00-05:00,True,4967,4292.724208981482,4967.0
2013-11-06 14:30:00-05:00,True,4967,4338.832115972222,4967.0
2013-11-06 15:00:00-05:00,False,2702,4593.131849166668,4593.131849166668
2013-11-06 15:30:00-05:00,True,4967,4617.586707037037,4967.0
2013-11-06 16:00:00-05:00,True,4967,4815.474477407408,4967.0
2013-11-06 16:30:00-05:00,True,4967,4565.9277175,4967.0
2013-11-06 17:00:00-05:00,True,4967,4539.8195796759255,4967.0
2013-11-06 17:30:00-05:00,True,4967,4643.382747546296,4967.0
2013-11-06 18:00:00-05:00,True,4967,4258.252713611111,4967.0
2013-11-06 18:30:00-05:00,True,4967,4174.087437453703,4967.0
2013-11-06 19:00:00-05:00,True,4967,3948.2964869444445,4967.0
2013-11-06 19:30:00-05:00,True,4967,4224.239773981482,4967.0
2013-11-06 20:00:00-05:00,True,4967,4189.295287731482,4967.0
2013-11-06 20:30:00-05:00,False,2702,4618.481392685185,4618.481392685185
2013-11-06 21:00:00-05:00,True,4967,4219.021118333334,4967.0
