fumehood,,flow,open
ottomaass-230-13__mcgill-standard__otto-mass-119-230,count,2651.0,2728.0
ottomaass-230-13__mcgill-standard__otto-mass-119-230,mean,161.8423236514523,28.216399835043593
ottomaass-230-13__mcgill-standard__otto-mass-119-230,std,1797.0486815353759,11.2355160839276
ottomaass-230-13__mcgill-standard__otto-mass-119-230,min,95.0,18.049999
ottomaass-230-13__mcgill-standard__otto-mass-119-230,25%,99.0,21.02
ottomaass-230-13__mcgill-standard__otto-mass-119-230,50%,99.0,24.725
ottomaass-230-13__mcgill-standard__otto-mass-119-230,75%,100.0,30.545
ottomaass-230-13__mcgill-standard__otto-mass-119-230,max,65535.0,73.564995
ottomaass-230-14__mcgill-standard__otto-mass-119-230,count,2685.0,2765.0
ottomaass-230-14__mcgill-standard__otto-mass-119-230,mean,151.02160148975793,27.586530839421723
ottomaass-230-14__mcgill-standard__otto-mass-119-230,std,1785.618745505939,7.623981900594608
ottomaass-230-14__mcgill-standard__otto-mass-119-230,min,97.0,21.174999
ottomaass-230-14__mcgill-standard__otto-mass-119-230,25%,97.0,22.219998999999998
ottomaass-230-14__mcgill-standard__otto-mass-119-230,50%,97.0,23.525
ottomaass-230-14__mcgill-standard__otto-mass-119-230,75%,98.0,30.619999
ottomaass-230-14__mcgill-standard__otto-mass-119-230,max,65535.0,57.289997
ottomaass-230-15__mcgill-standard__otto-mass-119-230,count,2675.0,2754.0
ottomaass-230-15__mcgill-standard__otto-mass-119-230,mean,157.647476635514,33.013176079521315
ottomaass-230-15__mcgill-standard__otto-mass-119-230,std,1788.8541054777338,7.111794650553562
ottomaass-230-15__mcgill-standard__otto-mass-119-230,min,90.0,21.6
ottomaass-230-15__mcgill-standard__otto-mass-119-230,25%,97.0,28.809998999999998
ottomaass-230-15__mcgill-standard__otto-mass-119-230,50%,98.0,32.849998
ottomaass-230-15__mcgill-standard__otto-mass-119-230,75%,100.0,34.584998999999996
ottomaass-230-15__mcgill-standard__otto-mass-119-230,max,65535.0,65.459999
ottomaass-230-16__mcgill-standard__otto-mass-119-230,count,2681.0,2753.0
ottomaass-230-16__mcgill-standard__otto-mass-119-230,mean,149.91868705706827,21.699529419541413
